"Date","Price","Open","High","Low","Change %"
"11/10/2023","1.610","1.550","1.810","1.550","0.00%"
"11/09/2023","1.610","1.550","1.810","1.550","0.00%"
"11/08/2023","1.610","1.550","1.720","1.550","0.00%"
"11/07/2023","1.610","1.550","1.800","1.550","0.00%"
"11/06/2023","1.610","1.550","1.800","1.550","-0.62%"
"11/05/2023","1.620","1.610","1.690","1.550","-0.61%"
"11/04/2023","1.630","1.610","1.630","1.610","1.24%"
"11/03/2023","1.610","1.550","1.790","1.550","-4.17%"
"11/02/2023","1.680","1.550","1.790","1.540","4.35%"
"11/01/2023","1.610","1.550","1.700","1.530","0.00%"
"10/31/2023","1.610","1.550","1.710","1.530","-6.94%"
"10/30/2023","1.730","1.550","1.770","1.510","6.13%"
"10/29/2023","1.630","1.640","1.730","1.550","5.16%"
"10/28/2023","1.550","1.550","1.550","1.550","-0.64%"
"10/27/2023","1.560","1.550","1.770","1.490","-8.77%"
"10/26/2023","1.710","1.550","1.710","1.550","0.00%"
"10/25/2023","1.710","1.550","1.760","1.550","-0.58%"
"10/24/2023","1.720","1.550","1.760","1.550","1.18%"
"10/23/2023","1.700","1.550","1.700","1.550","9.68%"
"10/22/2023","1.550","1.630","1.700","1.550","-4.91%"
"10/21/2023","1.630","1.700","1.710","1.550","0.00%"
"10/20/2023","1.630","1.550","1.740","1.550","0.00%"
"10/19/2023","1.630","1.550","1.740","1.430","0.00%"
"10/18/2023","1.630","1.550","1.730","1.550","0.00%"
"10/17/2023","1.630","1.550","1.680","1.450","0.00%"
"10/16/2023","1.630","1.550","1.720","1.440","0.00%"
"10/15/2023","1.630","1.640","1.690","1.630","5.16%"
"10/14/2023","1.550","1.550","1.550","1.550","-4.91%"
"10/13/2023","1.630","1.550","1.720","1.550","0.00%"
"10/12/2023","1.630","1.550","1.710","1.550","0.00%"
"10/11/2023","1.630","1.680","1.710","1.550","0.00%"
"10/10/2023","1.630","1.550","1.750","1.550","1.24%"
"10/09/2023","1.610","1.550","1.710","1.460","0.00%"
"10/08/2023","1.610","1.630","1.700","1.550","3.87%"
"10/07/2023","1.550","1.610","1.610","1.550","-3.73%"
"10/06/2023","1.610","1.550","1.710","1.550","-1.23%"
"10/05/2023","1.630","1.550","1.710","1.550","0.00%"
"10/04/2023","1.630","1.550","1.740","1.550","0.00%"
"10/03/2023","1.630","1.550","1.720","1.460","0.00%"
"10/02/2023","1.630","1.550","1.720","1.550","0.00%"
"10/01/2023","1.630","1.640","1.710","1.550","5.16%"
"09/30/2023","1.550","1.550","1.550","1.550","-4.91%"
"09/29/2023","1.630","1.550","1.730","1.410","0.00%"
"09/28/2023","1.630","1.550","1.720","1.420","-5.23%"
"09/27/2023","1.720","1.550","1.770","1.550","2.99%"
"09/26/2023","1.670","1.550","1.750","1.550","1.21%"
"09/25/2023","1.650","1.550","1.720","1.550","6.45%"
"09/24/2023","1.550","1.670","1.710","1.550","0.00%"
"09/23/2023","1.550","1.670","1.670","1.550","-7.19%"
"09/22/2023","1.670","1.550","1.750","1.470","-1.18%"
"09/21/2023","1.690","1.650","1.890","1.510","-2.87%"
"09/20/2023","1.740","1.650","1.900","1.630","0.00%"
