"Date","Price","Open","High","Low","Change %"
"10/27/2023","0.977","0.985","1.004","0.968","-5.24%"
"10/26/2023","1.031","1.087","1.092","1.031","-5.06%"
"10/25/2023","1.086","1.047","1.086","1.013","3.53%"
"10/24/2023","1.049","1.087","1.087","1.034","-2.51%"
"10/23/2023","1.076","1.143","1.143","1.076","-2.09%"
"10/20/2023","1.099","1.151","1.151","1.099","-5.01%"
"10/19/2023","1.157","1.170","1.170","1.150","0.70%"
"10/18/2023","1.149","1.161","1.161","1.106","1.77%"
"10/17/2023","1.129","1.110","1.129","1.084","3.77%"
"10/16/2023","1.088","1.105","1.120","1.086","0.09%"
"10/13/2023","1.087","1.132","1.141","1.072","-3.21%"
"10/12/2023","1.123","1.089","1.123","1.057","4.76%"
"10/11/2023","1.072","1.075","1.111","1.041","-0.37%"
"10/10/2023","1.076","1.100","1.123","1.076","0.00%"
"10/09/2023","1.076","1.114","1.146","1.076","-5.36%"
"10/06/2023","1.137","1.163","1.169","1.116","-2.15%"
"10/05/2023","1.162","1.143","1.164","1.109","0.00%"
"10/04/2023","1.162","1.128","1.167","1.069","2.47%"
"10/03/2023","1.134","1.113","1.134","1.054","2.90%"
"10/02/2023","1.102","1.100","1.102","1.066","3.57%"
"09/29/2023","1.064","1.133","1.133","1.044","-4.49%"
"09/28/2023","1.114","1.105","1.114","1.055","5.19%"
"09/27/2023","1.059","1.049","1.059","1.026","1.44%"
"09/26/2023","1.044","1.082","1.086","1.023","-2.70%"
"09/25/2023","1.073","1.084","1.084","1.056","-0.19%"
"09/22/2023","1.075","1.077","1.079","1.054","-4.27%"
"09/21/2023","1.123","1.171","1.171","1.041","0.72%"
"09/20/2023","1.115","1.144","1.144","1.113","-0.36%"
"09/19/2023","1.119","1.123","1.123","1.098","-1.41%"
"09/18/2023","1.135","1.095","1.135","1.084","3.28%"
"09/15/2023","1.099","1.067","1.099","1.044","4.07%"
"09/14/2023","1.056","1.063","1.073","1.044","-0.66%"
"09/13/2023","1.063","1.095","1.101","1.051","-3.80%"
"09/12/2023","1.105","1.067","1.132","1.042","5.44%"
"09/11/2023","1.048","1.056","1.069","1.035","1.06%"
"09/08/2023","1.037","0.995","1.039","0.995","-3.26%"
"09/07/2023","1.072","1.041","1.072","0.978","5.20%"
"09/06/2023","1.019","0.981","1.023","0.952","6.37%"
"09/05/2023","0.958","0.946","0.964","0.944","0.21%"
"09/04/2023","0.956","0.995","0.995","0.941","-2.25%"
"09/01/2023","0.978","0.961","0.978","0.910","1.35%"
"08/31/2023","0.965","1.007","1.007","0.938","-2.62%"
"08/30/2023","0.991","0.985","0.999","0.970","1.75%"
"08/29/2023","0.974","0.955","0.976","0.953","-2.01%"
"08/28/2023","0.994","1.021","1.031","0.986","-3.02%"
"08/25/2023","1.025","1.019","1.025","0.971","3.85%"
"08/24/2023","0.987","0.951","0.987","0.946","2.17%"
"08/23/2023","0.966","1.097","1.097","0.960","-6.30%"
"08/22/2023","1.031","1.068","1.070","1.029","-5.41%"
"08/21/2023","1.090","1.057","1.090","1.016","5.62%"
"08/18/2023","1.032","1.059","1.059","1.003","-2.09%"
"08/17/2023","1.054","1.069","1.085","1.036","1.05%"
"08/16/2023","1.043","1.053","1.053","0.993","1.26%"
"08/15/2023","1.030","1.081","1.083","1.030","-0.77%"
"08/14/2023","1.038","1.062","1.068","1.015","-1.89%"
"08/11/2023","1.058","1.047","1.060","1.013","5.38%"
"08/10/2023","1.004","0.984","1.004","0.969","3.08%"
"08/09/2023","0.974","0.960","0.974","0.930","1.04%"
"08/08/2023","0.964","0.976","0.988","0.946","-5.12%"
"08/07/2023","1.016","1.016","1.039","1.010","0.20%"
"08/04/2023","1.014","1.050","1.059","1.008","-0.10%"
"08/03/2023","1.015","1.013","1.026","0.995","1.30%"
"08/02/2023","1.002","1.051","1.059","0.988","-3.47%"
"07/31/2023","1.038","1.058","1.068","1.034","-0.76%"
"07/28/2023","1.046","1.068","1.068","1.017","1.95%"
"07/27/2023","1.026","1.028","1.033","0.984","-1.35%"
"07/26/2023","1.040","0.997","1.042","0.995","4.52%"
"07/25/2023","0.995","1.011","1.017","0.971","3.00%"
"07/24/2023","0.966","1.021","1.021","0.956","-3.40%"
"07/21/2023","1.000","1.012","1.030","0.998","-1.19%"
"07/20/2023","1.012","0.994","1.018","0.978","3.05%"
"07/19/2023","0.982","0.896","0.982","0.884","4.69%"
"07/18/2023","0.938","1.010","1.010","0.926","-7.68%"
"07/17/2023","1.016","1.028","1.032","0.988","-2.40%"
"07/14/2023","1.041","1.029","1.056","1.011","0.97%"
"07/13/2023","1.031","1.085","1.085","1.007","-5.93%"
"07/12/2023","1.096","1.183","1.183","1.094","-3.86%"
"07/11/2023","1.140","1.172","1.172","1.089","1.51%"
"07/10/2023","1.123","1.113","1.151","1.097","2.18%"
"07/07/2023","1.099","1.163","1.163","1.082","-0.63%"
"07/06/2023","1.106","1.038","1.126","1.002","11.83%"
"07/05/2023","0.989","0.971","0.989","0.905","0.30%"
"07/04/2023","0.986","1.010","1.012","0.972","-1.79%"
"07/03/2023","1.004","1.060","1.060","0.958","0.20%"
"06/30/2023","1.002","1.079","1.083","0.992","-3.38%"
"06/29/2023","1.037","1.007","1.061","0.957","2.88%"
"06/28/2023","1.008","0.982","1.008","0.909","1.92%"
"06/27/2023","0.989","0.950","0.989","0.916","6.57%"
"06/26/2023","0.928","0.961","0.965","0.910","-4.82%"
"06/23/2023","0.975","1.038","1.056","0.935","-7.32%"
"06/22/2023","1.052","1.050","1.072","0.970","0.77%"
"06/21/2023","1.044","1.074","1.078","1.001","0.00%"
"06/20/2023","1.044","1.078","1.092","1.022","-6.37%"
"06/19/2023","1.115","1.067","1.115","1.058","0.54%"
"06/16/2023","1.109","1.174","1.184","1.077","-0.63%"
"06/15/2023","1.116","1.082","1.134","1.051","7.20%"
"06/14/2023","1.041","0.980","1.063","0.980","-1.79%"
"06/13/2023","1.060","0.957","1.060","0.945","3.31%"
"06/12/2023","1.026","0.961","1.026","0.939","1.58%"
"06/09/2023","1.010","0.969","1.013","0.957","-2.04%"
"06/08/2023","1.031","0.930","1.031","0.913","4.25%"
"06/07/2023","0.989","0.927","0.989","0.868","12.26%"
"06/06/2023","0.881","0.981","0.981","0.869","-7.46%"
"06/05/2023","0.952","0.933","0.978","0.875","10.70%"
"06/02/2023","0.860","0.887","0.887","0.829","-4.44%"
"06/01/2023","0.900","0.878","0.900","0.824","3.93%"
"05/31/2023","0.866","0.862","0.866","0.826","-3.67%"
"05/30/2023","0.899","0.953","0.965","0.891","-14.95%"
"05/26/2023","1.057","1.086","1.086","0.995","2.52%"
"05/25/2023","1.031","0.995","1.031","0.969","7.85%"
"05/24/2023","0.956","0.961","0.989","0.944","0.63%"
"05/23/2023","0.950","0.933","0.962","0.933","1.60%"
"05/22/2023","0.935","0.907","0.937","0.890","3.20%"
"05/19/2023","0.906","1.000","1.045","0.899","0.11%"
"05/17/2023","0.905","0.902","0.966","0.830","0.33%"
"05/16/2023","0.902","0.909","0.909","0.839","-1.10%"
"05/15/2023","0.912","0.917","0.917","0.835","1.11%"
"05/12/2023","0.902","0.911","0.911","0.787","6.24%"
"05/11/2023","0.849","0.910","0.915","0.803","-11.29%"
"05/10/2023","0.957","0.966","1.009","0.896","0.63%"
"05/09/2023","0.951","1.008","1.008","0.911","-5.93%"
"05/08/2023","1.011","0.948","1.011","0.946","6.53%"
"05/05/2023","0.949","0.956","0.985","0.912","4.17%"
"05/04/2023","0.911","1.059","1.059","0.911","-9.08%"
"05/03/2023","1.002","0.981","1.014","0.962","4.27%"
"05/02/2023","0.961","1.085","1.085","0.952","-7.77%"
"04/28/2023","1.042","1.098","1.098","0.981","-3.43%"
"04/27/2023","1.079","1.083","1.088","1.011","2.66%"
"04/26/2023","1.051","1.044","1.051","0.995","0.96%"
"04/25/2023","1.041","1.113","1.125","1.022","-10.72%"
"04/24/2023","1.166","1.061","1.166","1.052","1.13%"
"04/21/2023","1.153","1.037","1.160","1.034","9.81%"
"04/20/2023","1.050","1.145","1.145","1.045","-10.10%"
"04/19/2023","1.168","1.117","1.168","1.082","10.19%"
"04/18/2023","1.060","1.085","1.094","1.029","-9.79%"
"04/17/2023","1.175","1.056","1.175","1.056","0.69%"
"04/14/2023","1.167","0.988","1.172","0.988","19.33%"
"04/13/2023","0.978","0.973","1.003","0.948","-14.36%"
"04/12/2023","1.142","1.240","1.282","1.026","-7.83%"
"04/11/2023","1.239","1.166","1.246","1.166","9.84%"
"04/06/2023","1.128","1.168","1.168","1.107","-3.34%"
"04/05/2023","1.167","1.297","1.297","1.160","-6.27%"
