Strike,Ticker,ExDt,Bid,Ask,IVM,Mid,DM,DB,DA,sDM,Volm
17-Nov-23 (11d); CSize 10; R 1.78; IFwd 331.66,,,,,,,,,,,
310,LONE 11 P310,11/17/23,1.049999952,1.700000048,34.15031817,1.375,-0.131115884,-0.112720691,-0.146859914,-0.128730504,0
315,LONE 11 P315,11/17/23,1.549999952,2.25,31.68344667,1.899999976,-0.180129841,-0.163018346,-0.195000067,-0.180129846,0
320,LONE 11 P320,11/17/23,2.450000048,3.150000095,30.22189976,2.800000191,-0.252251774,-0.238651514,-0.263433576,-0.252251787,0
325,LONE 11 P325,11/17/23,3.799999952,4.599999905,29.32929384,4.199999809,-0.34718582,-0.338872612,-0.354457289,-0.347185813,0
330,LONE 11 P330,11/17/23,5.699999809,6.449999809,28.53011354,6.074999809,-0.457787603,-0.456463158,-0.458911419,-0.45794779,0
335,LONE 11 P335,11/17/23,8.199999809,9.050000191,27.43652281,8.625,-0.576670051,-0.583303452,-0.570775151,-0.577782981,0
340,LONE 11 P340,11/17/23,11.35000038,12.25,27.36692604,11.80000019,-0.690464795,-0.706789315,-0.676435173,-0.690464819,0
345,LONE 11 P345,11/17/23,15.05000019,16,26.34381345,15.52499962,-0.788822293,-0.816661298,-0.766004741,-0.795522869,0
350,LONE 11 P350,11/17/23,19.20000076,20.20000076,25.8911835,19.70000076,-0.865439475,-0.90783143,-0.833690882,-0.87477776,0
355,LONE 11 P355,11/17/23,23.70000076,24.85000038,27.59446917,24.27500153,-0.913173735,-0.981914878,-0.87199533,-0.91317372,0
17-Nov-23 (11d); CSize 10; R 1.78; IFwd 331.66,,,,,,,,,,,
310,LONN 11 P310,11/17/23,1.049999952,1.700000048,34.06204607,1.375,-0.131129086,-0.112727292,-0.14687711,-0.131129088,0
315,LONN 11 P315,11/17/23,1.600000024,2.25,32.13729035,1.924999952,-0.180728108,-0.165113077,-0.194380656,-0.181841896,0
320,LONN 11 P320,11/17/23,2.5,3.150000095,30.3733701,2.825000048,-0.253099173,-0.240571409,-0.263435811,-0.253099172,0
