Strike,Ticker,ExDt,Bid,Ask,IVM,Mid,DM,DB,DA,sDM,Volm
17-Nov-23 (11d); CSize 100; R 1.78; IFwd 226.31,,,,,,,,,,,
195,SIK 11 P195,11/17/23,0.01,0.340000004,43.3363605,0.174999997,-0.02546089,-0.002623408,-0.040822621,-0.025460887,0
200,SIK 11 P200,11/17/23,0.039999999,0.379999995,38.28580397,0.209999993,-0.033393919,-0.009385536,-0.050366849,-0.033393924,0
210,SIK 11 P210,11/17/23,0.270000011,0.600000024,29.93423601,0.435000002,-0.077445328,-0.05683355,-0.09442082,-0.07744533,0
220,SIK 11 P220,11/17/23,1.450000048,1.799999952,25.2492643,1.625,-0.256503493,-0.245548934,-0.266319662,-0.256503495,0
230,SIK 11 P230,11/17/23,5.699999809,6.199999809,24.40534635,5.949999809,-0.637535632,-0.648543775,-0.627737522,-0.633495098,0
240,SIK 11 P240,11/17/23,13.55000019,14.39999962,24.696949,13.97500038,-0.920627296,-1,-0.866682887,-0.905387249,0
250,SIK 11 P250,11/17/23,23.10000038,24.20000076,29.96999565,23.65000153,-1,-1,-0.920744479,-0.968831095,0
260,SIK 11 P260,11/17/23,33.20000076,34.15000153,0,33.67500305,-1,-1,-0.938518822,-1,0
270,SIK 11 P270,11/17/23,43.20000076,44.15000153,0,43.67500305,-1,-1,-0.947197795,-1,0
280,SIK 11 P280,11/17/23,53.20000076,54.15000153,0,53.67500305,-1,-1,-0.953485072,-1,0
17-Nov-23 (11d); CSize 100; R 1.78; IFwd 226.31,,,,,,,,,,,
205,SIKAO 11 P205,11/17/23,0,0,0,0,0,0,0,0,0
210,SIKAO 11 P210,11/17/23,0,0,0,0,0,0,0,0,0
215,SIKAO 11 P215,11/17/23,0,0,0,0,0,0,0,0,0
220,SIKAO 11 P220,11/17/23,0,0,0,0,0,0,0,0,0
225,SIKAO 11 P225,11/17/23,0,0,0,0,0,0,0,0,0
230,SIKAO 11 P230,11/17/23,0,0,0,0,0,0,0,0,0
235,SIKAO 11 P235,11/17/23,0,0,0,0,0,0,0,0,0
240,SIKAO 11 P240,11/17/23,0,0,0,0,0,0,0,0,0
245,SIKAO 11 P245,11/17/23,0,0,0,0,0,0,0,0,0
250,SIKAO 11 P250,11/17/23,0,0,0,0,0,0,0,0,0
17-Nov-23 (11d); CSize 100; R 1.78; IFwd 226.31,,,,,,,,,,,
195,SIKE 11 P195,11/17/23,0.01,0.340000004,43.31143234,0.174999997,-0.02545616,-0.002683565,-0.040822189,-0.025456157,0
200,SIKE 11 P200,11/17/23,0.039999999,0.379999995,38.25361417,0.209999993,-0.033372119,-0.009605869,-0.05035207,-0.033372124,0
210,SIKE 11 P210,11/17/23,0.239999995,0.600000024,29.65677522,0.420000017,-0.075736932,-0.052503698,-0.094461247,-0.075736929,0
220,SIKE 11 P220,11/17/23,1.450000048,1.799999952,25.23238414,1.625,-0.256501853,-0.245545998,-0.266324311,-0.256501843,0
230,SIKE 11 P230,11/17/23,5.699999809,6.199999809,23.74771586,5.949999809,-0.635454774,-0.646158278,-0.625996947,-0.63545476,0
240,SIKE 11 P240,11/17/23,13.55000019,14.44999981,24.0174551,14,-0.907471001,-1,-0.856784403,-0.907471018,0
250,SIKE 11 P250,11/17/23,23,24.25,24.48101643,23.625,-0.986951172,-1,-0.909183025,-0.986951149,0
260,SIKE 11 P260,11/17/23,32.95000076,34.09999847,34.90019112,33.52500153,-1,-1,-0.937125385,-0.984921954,0
270,SIKE 11 P270,11/17/23,42.95000076,44.15000153,0,43.55000305,-1,-1,-0.942337632,-1,0
280,SIKE 11 P280,11/17/23,52.95000076,54.04999924,48.98299946,53.5,-1,-1,-0.95503819,-0.990923419,0
15-Dec-23 (39d); CSize 100; R 1.78; IFwd 226.61,,,,,,,,,,,
195,SIK 12 P195,12/15/23,0.600000024,0.899999976,31.42969955,0.75,-0.068619683,-0.059438668,-0.076930523,-0.068619682,0
200,SIK 12 P200,12/15/23,0.850000024,1.200000048,29.58108373,1.025000095,-0.093975559,-0.083956338,-0.103064701,-0.093975559,0
210,SIK 12 P210,12/15/23,2,2.349999905,27.02877126,2.174999952,-0.186142594,-0.179040596,-0.192780793,-0.186142551,0
220,SIK 12 P220,12/15/23,4.400000095,4.75,25.05468943,4.574999809,-0.34445107,-0.341443598,-0.347292483,-0.344451081,1
230,SIK 12 P230,12/15/23,8.699999809,9.199999809,23.83461369,8.949999809,-0.559407055,-0.5627684,-0.556372881,-0.558464289,0
240,SIK 12 P240,12/15/23,15.39999962,16,23.25150002,15.69999981,-0.765649796,-0.781484842,-0.751708567,-0.761859375,0
250,SIK 12 P250,12/15/23,23.79999924,24.64999962,22.31697148,24.22499847,-0.908961177,-0.959916174,-0.87499094,-0.908961189,0
260,SIK 12 P260,12/15/23,33.25,34.25,24.56441173,33.75,-0.977673054,-1,-0.920713723,-0.960149317,0
270,SIK 12 P270,12/15/23,43.20000076,44.15000153,0,43.67500305,-1,-1,-0.939040542,-1,0
280,SIK 12 P280,12/15/23,53.20000076,54.15000153,0,53.67500305,-1,-1,-0.945369124,-1,0
15-Dec-23 (39d); CSize 100; R 1.78; IFwd 226.61,,,,,,,,,,,
190,SIKAO 12 P190,12/15/23,0,0,0,0,0,0,0,0,0
200,SIKAO 12 P200,12/15/23,0,0,0,0,0,0,0,0,0
210,SIKAO 12 P210,12/15/23,0,0,0,0,0,0,0,0,0
220,SIKAO 12 P220,12/15/23,0,0,0,0,0,0,0,0,0
230,SIKAO 12 P230,12/15/23,0,0,0,0,0,0,0,0,0
240,SIKAO 12 P240,12/15/23,0,0,0,0,0,0,0,0,0
250,SIKAO 12 P250,12/15/23,0,0,0,0,0,0,0,0,0
260,SIKAO 12 P260,12/15/23,0,0,0,0,0,0,0,0,0
270,SIKAO 12 P270,12/15/23,0,0,0,0,0,0,0,0,0
280,SIKAO 12 P280,12/15/23,0,0,0,0,0,0,0,0,0
15-Dec-23 (39d); CSize 100; R 1.78; IFwd 226.61,,,,,,,,,,,
195,SIKE 12 P195,12/15/23,0.600000024,0.899999976,31.41719894,0.75,-0.068582349,-0.05942218,-0.076945834,-0.068582349,0
200,SIKE 12 P200,12/15/23,0.850000024,1.200000048,29.57521181,1.025000095,-0.093974389,-0.083993994,-0.1030626,-0.093974392,0
210,SIKE 12 P210,12/15/23,1.950000048,2.349999905,27.02203308,2.150000095,-0.185146958,-0.176874414,-0.192747504,-0.18612979,0
220,SIKE 12 P220,12/15/23,4.349999905,4.75,25.13958103,4.550000191,-0.344021738,-0.34054172,-0.347288966,-0.344865194,0
230,SIKE 12 P230,12/15/23,8.649999619,9.199999809,23.55560744,8.924999237,-0.557126224,-0.560672343,-0.553800642,-0.55712621,0
240,SIKE 12 P240,12/15/23,15.39999962,16,23.18856868,15.69999981,-0.756790638,-0.770762086,-0.744201899,-0.756790612,0
250,SIKE 12 P250,12/15/23,23.60000038,24.60000038,22.75097953,24.10000038,-0.893877506,-0.94043833,-0.860188723,-0.89387748,0
260,SIKE 12 P260,12/15/23,32.90000153,34,23.89614755,33.45000076,-0.96611464,-1,-0.918563545,-0.95299755,0
270,SIKE 12 P270,12/15/23,42.70000076,43.90000153,27.19362986,43.30000305,-0.986053526,-1,-0.935041606,-0.969686058,0
280,SIKE 12 P280,12/15/23,52.70000076,53.79999924,25.87956626,53.25,-0.991716266,-1,-0.94728905,-0.991716244,0
19-Jan-24 (74d); CSize 100; R 1.78; IFwd 226.98,,,,,,,,,,,
195,SIK 1/24 P195,01/19/24,1.549999952,1.950000048,29.82474152,1.75,-0.112945497,-0.105509698,-0.119852901,-0.112945499,0
200,SIK 1/24 P200,01/19/24,2.099999905,2.5,28.81083897,2.299999952,-0.145582959,-0.138967499,-0.15178445,-0.146379779,0
210,SIK 1/24 P210,01/19/24,3.849999905,4.300000191,26.99762407,4.074999809,-0.239046097,-0.234038606,-0.2437682,-0.239046078,0
220,SIK 1/24 P220,01/19/24,6.75,7.25,25.66232705,7,-0.370858312,-0.368766457,-0.372779399,-0.371255672,0
230,SIK 1/24 P230,01/19/24,11.25,11.80000019,24.68628563,11.52499962,-0.528599679,-0.530706286,-0.526563287,-0.52859965,0
240,SIK 1/24 P240,01/19/24,17.39999962,18.04999924,23.85558885,17.72499847,-0.686743736,-0.695974588,-0.678073227,-0.686743721,0
