Strike,Ticker,ExDt,Bid,Ask,IVM,Mid,DM,DB,DA,sDM,Volm
17-Nov-23 (11d); CSize 100; R 1.78; IFwd 226.31,,,,,,,,,,,
195,SIK 11 C195,11/17/23,31.04999924,32.25,40.07129164,31.64999962,0.966475844,1,0.924950004,0.982370477,0
200,SIK 11 C200,11/17/23,26.04999924,27.29999924,36.27561971,26.67499924,0.959204733,1,0.912223458,0.973255875,0
210,SIK 11 C210,11/17/23,16.35000038,17.20000076,27.43080104,16.77500153,0.929599404,1,0.888210297,0.93912965,0
220,SIK 11 C220,11/17/23,7.75,8.399999619,25.01659294,8.074999809,0.740891814,0.761690378,0.723880589,0.745308929,0
230,SIK 11 C230,11/17/23,2.25,2.650000095,24.02651021,2.450000048,0.368090421,0.36000824,0.375396967,0.366147707,0
240,SIK 11 C240,11/17/23,0.310000002,0.649999976,24.96015792,0.479999989,0.101268619,0.07680238,0.121524371,0.101268619,0
250,SIK 11 C250,11/17/23,0.01,0.319999993,29.9037232,0.164999992,0.03487948,0.003905464,0.055694509,0.03487948,0
260,SIK 11 C260,11/17/23,0.01,0.270000011,38.30510517,0.140000001,0.02437569,0.002978724,0.039500821,0.024375693,0
270,SIK 11 C270,11/17/23,0.01,0.270000011,46.86083311,0.140000001,0.020471411,0.002446931,0.033458009,0.020471408,0
280,SIK 11 C280,11/17/23,0.01,0.25999999,54.59200775,0.13499999,0.01736171,0.002099214,0.02855516,0.017361707,0
17-Nov-23 (11d); CSize 100; R 1.78; IFwd 226.31,,,,,,,,,,,
205,SIKAO 11 C205,11/17/23,0,0,0,0,0,0,0,0,0
210,SIKAO 11 C210,11/17/23,0,0,0,0,0,0,0,0,0
215,SIKAO 11 C215,11/17/23,0,0,0,0,0,0,0,0,0
220,SIKAO 11 C220,11/17/23,0,0,0,0,0,0,0,0,0
225,SIKAO 11 C225,11/17/23,0,0,0,0,0,0,0,0,0
230,SIKAO 11 C230,11/17/23,0,0,0,0,0,0,0,0,0
235,SIKAO 11 C235,11/17/23,0,0,0,0,0,0,0,0,0
240,SIKAO 11 C240,11/17/23,0,0,0,0,0,0,0,0,0
245,SIKAO 11 C245,11/17/23,0,0,0,0,0,0,0,0,0
250,SIKAO 11 C250,11/17/23,0,0,0,0,0,0,0,0,0
17-Nov-23 (11d); CSize 100; R 1.78; IFwd 226.31,,,,,,,,,,,
195,SIKE 11 C195,11/17/23,31.04999924,32.29999924,40.0402577,31.67499924,0.964217544,1,0.922279954,0.982379243,0
200,SIKE 11 C200,11/17/23,26,27.25,36.24378697,26.625,0.964458287,1,0.915211201,0.973279291,0
210,SIKE 11 C210,11/17/23,16.29999924,17.45000076,28.38720702,16.875,0.918258429,1,0.869809687,0.932685243,0
220,SIKE 11 C220,11/17/23,7.75,8.449999809,25.19065029,8.100000381,0.739470899,0.761701524,0.721518874,0.743814654,0
230,SIKE 11 C230,11/17/23,2.25,2.700000048,24.00479225,2.474999905,0.369077921,0.36000368,0.377118498,0.366119608,0
240,SIKE 11 C240,11/17/23,0.310000002,0.649999976,24.94318072,0.479999989,0.1012704,0.076782018,0.1215095,0.101270393,0
250,SIKE 11 C250,11/17/23,0.01,0.319999993,33.89589011,0.164999992,0.034881059,0.003906178,0.05569366,0.055693662,0
260,SIKE 11 C260,11/17/23,0,0.270000011,42.76172957,0.270000011,0.039501,0,0.039501,0.039501,0
270,SIKE 11 C270,11/17/23,0,0.270000011,51.99927268,0.270000011,0.03347544,0,0.03347544,0.033475439,0
280,SIKE 11 C280,11/17/23,0,0.25999999,60.24572882,0.25999999,0.028563719,0,0.028563719,0.028563716,0
15-Dec-23 (39d); CSize 100; R 1.78; IFwd 226.61,,,,,,,,,,,
195,SIK 12 C195,12/15/23,31.89999962,33,30.66216792,32.45000076,0.928513527,0.967291653,0.901851058,0.935836927,0
200,SIK 12 C200,12/15/23,27.25,28.04999924,28.70237362,27.64999962,0.907880187,0.93312484,0.887868881,0.912130287,0
210,SIK 12 C210,12/15/23,18.45000076,19.25,27.02022743,18.85000038,0.813925385,0.830951273,0.799344301,0.817925859,0
220,SIK 12 C220,12/15/23,11.05000019,11.55000019,24.89400074,11.30000019,0.655045033,0.659352303,0.651072264,0.656300381,0
230,SIK 12 C230,12/15/23,5.5,5.949999809,23.68448055,5.724999905,0.4439511,0.441126078,0.446633697,0.443336123,0
240,SIK 12 C240,12/15/23,2.25,2.650000095,23.17039601,2.450000048,0.244078219,0.235007718,0.252545595,0.242978984,0
250,SIK 12 C250,12/15/23,0.75,1.100000024,22.94421946,0.925000012,0.111866079,0.09830597,0.124114923,0.108139718,0
260,SIK 12 C260,12/15/23,0.189999998,0.5,23.87938263,0.344999999,0.047333907,0.030795431,0.061223641,0.046849313,5
270,SIK 12 C270,12/15/23,0.02,0.370000005,26.39552257,0.195000008,0.026432751,0.004380608,0.042257059,0.026432754,0
280,SIK 12 C280,12/15/23,0.01,0.310000002,29.97598947,0.159999996,0.019874191,0.002109897,0.032671131,0.019874186,0
15-Dec-23 (39d); CSize 100; R 1.78; IFwd 226.61,,,,,,,,,,,
190,SIKAO 12 C190,12/15/23,0,0,0,0,0,0,0,0,0
200,SIKAO 12 C200,12/15/23,0,0,0,0,0,0,0,0,0
210,SIKAO 12 C210,12/15/23,0,0,0,0,0,0,0,0,0
220,SIKAO 12 C220,12/15/23,0,0,0,0,0,0,0,0,0
230,SIKAO 12 C230,12/15/23,0,0,0,0,0,0,0,0,0
240,SIKAO 12 C240,12/15/23,0,0,0,0,0,0,0,0,0
250,SIKAO 12 C250,12/15/23,0,0,0,0,0,0,0,0,0
260,SIKAO 12 C260,12/15/23,0,0,0,0,0,0,0,0,0
270,SIKAO 12 C270,12/15/23,0,0,0,0,0,0,0,0,0
280,SIKAO 12 C280,12/15/23,0,0,0,0,0,0,0,0,0
15-Dec-23 (39d); CSize 100; R 1.78; IFwd 226.61,,,,,,,,,,,
195,SIKE 12 C195,12/15/23,31.85000038,33.04999924,30.38551981,32.45000076,0.928489149,0.972130895,0.899766326,0.937408273,0
